index,simulated,observed
1,58.23076923,115
2,59,138
3,67.36,169
4,89.48387097,118
5,95.61538462,126
6,87.25,121
7,144.8823529,157
8,71.82758621,200
9,117.53125,280
10,138.9428571,209
11,145.8823529,251
12,71.79166667,305
13,132.65625,262
14,85.77777778,296
15,87,263
16,71.62962963,333
17,90.78571429,198
18,132.78125,213
19,122.9375,299
20,67.875,362
21,130.3157895,400
22,138.3333333,425
23,77.625,330
24,67.92,329
25,94.77419355,328
26,108.7,328
27,55.65217391,306
28,72.10714286,90
29,74.53333333,163
30,126.1875,260
31,286.5641026,183
32,92.55882353,109
33,58.72,94
34,132.2666667,133
35,96.53571429,99
36,94.2,128
37,102.2,123
38,63.44,236
39,175.7575758,314
40,74.53846154,407
41,69.53571429,417
42,112.3142857,359
43,90.72,412
44,180.0769231,482
45,120.78125,454
46,114.2058824,477
47,124.8965517,498
48,88.28571429,325
49,165.6111111,237
50,65.125,
51,136.0606061,
52,72.5,
53,97.90625,
54,75.56,
55,97.70588235,
56,147.7419355,
57,74.10344828,
58,91.78125,
59,76.22222222,
60,67.28571429,
61,77.2,
62,116.3529412,
63,79.74074074,
64,77.48387097,
65,81.89285714,
66,62.86956522,
67,61.25,
68,109.1333333,
69,87.28,
70,118.862069,
71,137.2941176,
72,71.68,
73,69.51612903,
74,66.9,
75,86.55172414,
76,65.85185185,
77,99.96875,
78,185.3243243,
79,64.03846154,
80,141.2162162,
81,86.66666667,
82,81.62068966,
83,133.0810811,
84,127.5428571,
85,103.2647059,
86,72.61904762,
87,107,
88,151.0789474,
89,88.82142857,
90,89.80769231,
91,118.7058824,
92,123.8787879,
93,75.0625,
94,107.6875,
95,142.7428571,
96,76.80645161,
97,57.76190476,
98,304.8108108,
99,73.31034483,
100,136.7428571,
101,82.27586207,
102,175.6666667,
103,90.5,
104,209.4473684,
105,150.2580645,
106,110,
107,117.6764706,
108,77.55555556,
109,80.42424242,
110,109.3125,
111,238.4594595,
112,146.1111111,
113,81.51724138,
114,67.40909091,
115,81.17857143,
116,78.65384615,
117,75.25806452,
118,98.75,
119,70.28571429,
120,156.7297297,
121,68.79310345,
122,133.2121212,
123,78.63636364,
124,83.57692308,
125,129.5357143,
126,103.7741935,
127,80.32142857,
128,131.862069,
129,65.1,
130,139.5625,
131,95.11111111,
132,170.4615385,
133,93.12903226,
134,69.5483871,
135,141.0294118,
136,172.3888889,
137,121.8148148,
138,152.1388889,
139,122.8823529,
140,91.78787879,
141,103.9615385,
142,85.83870968,
143,62.72727273,
144,167.3428571,
145,98.72413793,
146,157.75,
147,176.25,
148,190.4473684,
149,92.06060606,
150,61.23529412,
151,108.2424242,
152,117.0645161,
153,81.61538462,
154,82.875,
155,114.7941176,
156,94.44117647,
157,218.5135135,
158,77.75,
159,93.27272727,
160,97.57142857,
161,91.89655172,
162,112.6571429,
163,91.13888889,
164,85.79411765,
165,94.93333333,
166,107.1818182,
167,91,
168,76,
169,92.45833333,
170,113.3529412,
171,106.03125,
172,93.70588235,
173,139.9117647,
174,73.64285714,
175,95.5483871,
176,80.5,
177,76,
178,86.85294118,
179,116,
180,62.09090909,
181,61.16666667,
182,147.0606061,
183,83.96428571,
184,90.39285714,
185,139.1290323,
186,64.55555556,
187,185.2285714,
188,99.67857143,
189,60.85185185,
190,236.0555556,
191,80.95652174,
192,147.4117647,
193,53.04761905,
194,127.4285714,
195,77.11538462,
196,68.69230769,
197,80,
198,123.2058824,
199,108.3939394,
200,83.10714286,
201,84.16,
202,114.5,
203,73.2,
204,118.3666667,
205,115.1290323,
206,77.82758621,
207,89.5,
208,70.15384615,
209,109.7419355,
210,75.13043478,
211,132.4242424,
212,58.82608696,
213,157.75,
214,100.6333333,
215,87.51724138,
216,63.57692308,
217,129.0344828,
218,65.83333333,
219,132.8333333,
220,116.7586207,
221,170.9705882,
222,151.3333333,
223,56.4375,
224,72.82758621,
225,143.5294118,
226,111.8235294,
227,72.75,
228,135.71875,
229,101.5517241,
230,80.36,
231,181.8611111,
232,120.8333333,
233,331.9736842,
234,185.1891892,
235,79.92307692,
236,105.875,
237,77.08,
238,91.10344828,
239,119.2258065,
240,73.24137931,
241,62.79166667,
242,226.0263158,
243,113.8235294,
244,304.6285714,
245,91.25806452,
246,119.46875,
247,63.66666667,
248,63.52173913,
249,70.875,
250,174.137931,
251,104.9210526,
252,86,
253,117.5483871,
254,98,
255,69.04,
256,77.37037037,
257,185.5833333,
258,106.7419355,
259,165.6756757,
260,120.6071429,
261,117.8,
262,136.0294118,
263,66.5,
264,76.93548387,
265,208.1351351,
266,108.6060606,
267,79.5,
268,103.0769231,
269,53.16,
270,83.32142857,
271,114.0645161,
272,182.6944444,
273,69.34782609,
274,70.89285714,
275,141.4516129,
276,155.4571429,
277,101.71875,
278,116,
279,92.75,
280,115.1176471,
281,102.8484848,
282,84.95652174,
283,110,
284,104.3571429,
285,124.137931,
286,90.23076923,
287,119.0909091,
288,74.71428571,
289,112.3666667,
290,107.0588235,
291,95.5625,
292,156.6285714,
293,97.71428571,
294,138.7,
295,56.27777778,
296,79.76470588,
297,103.9666667,
298,121.2058824,
299,89,
300,124.5714286,
301,76.96875,
302,63.81481481,
303,68.4,
304,70.5,
305,104.6666667,
306,62.9375,
307,65,
308,170.2121212,
309,63.26923077,
310,68.27272727,
311,138.25,
312,144.71875,
313,65.88888889,
314,80.96875,
315,149.8684211,
316,309.2105263,
317,98.33333333,
318,115.3714286,
319,65.81481481,
320,75.06451613,
321,69.81481481,
322,69.11538462,
323,123,
324,114.5625,
325,68.94117647,
326,73.78571429,
327,66.62962963,
328,138.027027,
329,236.7647059,
330,178.2162162,
331,79.46875,
332,74.96666667,
333,148.9705882,
334,88.57692308,
335,71.65217391,
336,96,
337,96.42857143,
338,62.48148148,
339,68.56521739,
340,73.17241379,
341,59.52173913,
342,75.14814815,
343,170.7222222,
344,76.47826087,
345,183.3421053,
346,98.375,
347,108.7272727,
348,73.82142857,
349,77.2962963,
350,88.38709677,
351,168.7241379,
352,107.3548387,
353,63.83333333,
354,82.87096774,
355,175.1818182,
356,49.2173913,
357,101.0344828,
358,146.4848485,
359,86.42424242,
360,133.09375,
361,202.6216216,
362,72.85714286,
363,74.84375,
364,74.6,
365,69.58333333,
366,89.03030303,
367,73.76190476,
368,158.0909091,
369,62.13793103,
370,62.92,
371,66.48,
372,108.3030303,
373,59.71428571,
374,120.1470588,
375,120.7857143,
376,139.6363636,
377,84.81818182,
378,102.483871,
379,87.30769231,
380,181.8648649,
381,146.3125,
382,93.36666667,
383,100.3939394,
384,123.2592593,
385,67.24,
386,208.2702703,
387,79.58064516,
388,86.75,
389,91.62962963,
390,126.1764706,
391,156.3428571,
392,56.0952381,
393,130.0322581,
394,87.5483871,
395,138.7368421,
396,77.29032258,
397,94.03030303,
398,89.88,
399,87,
400,88.63636364,
401,101.6785714,
402,73.45454545,
403,95.37931034,
404,74.2962963,
405,83.34615385,
406,114.8235294,
407,283.9705882,
408,70.61290323,
409,171.0322581,
410,166.0344828,
411,115.8333333,
412,72.32258065,
413,142.8888889,
414,100.4594595,
415,121.5428571,
416,123.3055556,
417,77.08695652,
418,91.66666667,
419,58.70833333,
420,77.2,
421,102.2058824,
422,78.88,
423,79.40740741,
424,100.8108108,
425,62.14285714,
426,121.4857143,
427,113,
428,76.68,
429,184.7428571,
430,143.8157895,
431,71.91304348,
432,79.37037037,
433,73.13333333,
434,66.07407407,
435,68.2,
436,176.7575758,
437,120.1142857,
438,83.41935484,
439,100.3939394,
440,87.53571429,
