index,simulated,observed
1,139,130
2,101,142
3,204,258
4,272,293
5,507,321
6,717,251
7,283,285
8,393,211
9,335,159
10,573,147
11,561,167
12,476,200
13,571,224
14,530,267
15,280,245
16,252,236
17,561,206
18,556,171
19,419,200
20,256,212
21,487,227
22,591,242
23,305,264
24,685,296
25,408,341
26,387,359
27,140,359
28,417,330
29,394,330
30,307,333
31,339,329
32,360,360
33,588,362
34,509,347
35,216,344
36,516,358
37,474,327
38,561,358
39,252,368
40,284,343
41,293,326
42,584,248
43,519,256
44,338,276
45,225,318
46,368,240
47,358,232
48,360,211
49,612,142
50,391,150
51,362,141
52,218,136
53,248,160
54,118,173
55,267,132
56,180,193
57,275,201
58,418,149
59,187,133
60,168,140
61,302,116
62,451,183
63,178,186
64,419,189
65,500,184
66,410,142
67,400,171
68,408,121
69,229,169
70,571,152
71,271,144
72,322,180
73,334,68
74,327,90
75,854,80
76,286,87
77,488,122
78,635,113
79,345,95
80,172,183
81,387,114
82,434,132
83,379,175
84,800,187
85,194,263
86,589,320
87,228,313
88,250,387
89,335,437
90,377,419
91,512,457
92,271,561
93,532,602
94,235,599
95,482,585
96,618,624
97,318,527
98,243,528
99,252,374
100,443,354
101,324,407
102,235,379
103,612,353
104,537,315
105,325,270
106,420,305
107,483,320
108,441,326
109,493,353
110,319,181
111,393,145
112,286,133
113,137,333
114,421,360
115,577,452
116,551,500
117,330,354
118,259,324
119,472,370
120,755,428
121,217,443
122,225,557
123,149,589
124,304,598
125,384,647
126,635,636
127,304,618
128,397,620
129,439,612
130,348,612
131,314,691
132,182,690
133,464,740
134,411,581
135,540,637
136,270,578
137,274,703
138,650,627
139,303,488
140,491,468
141,146,390
142,335,458
143,307,505
144,276,222
145,264,279
146,218,218
147,366,83
148,310,242
149,402,228
150,307,46
151,422,223
152,536,241
153,473,303
154,370,303
155,377,338
156,274,350
157,443,368
158,505,376
159,99,380
160,258,353
161,419,393
162,230,422
163,340,299
164,519,341
165,292,375
166,569,353
167,230,394
168,458,422
169,632,430
170,293,414
171,516,459
172,288,502
173,435,499
174,365,382
175,212,369
176,627,370
177,284,322
178,220,346
179,293,332
180,314,240
181,151,254
182,641,179
183,277,98
184,680,123
185,474,99
186,548,121
187,736,109
188,242,76
189,306,33
190,274,106
191,439,202
192,731,239
193,517,244
194,307,356
195,561,397
196,378,353
197,452,354
198,454,391
199,119,299
200,440,292
201,453,343
202,190,367
203,530,265
204,680,247
205,221,246
206,270,38
207,494,58
208,360,78
209,330,132
210,349,155
211,286,191
212,149,199
213,332,217
214,317,172
215,413,202
216,460,213
217,546,245
218,250,337
219,530,241
220,279,179
221,526,179
222,426,161
223,345,87
224,327,86
225,434,120
226,397,171
227,461,154
228,355,124
229,176,160
230,234,202
231,237,225
232,369,257
233,416,452
234,335,478
235,498,467
236,616,498
237,176,473
238,335,505
239,313,516
240,432,557
241,256,453
242,148,345
243,426,347
244,228,505
245,167,506
246,444,479
247,581,515
248,295,486
249,364,458
250,401,511
251,531,446
252,565,487
253,246,353
254,155,338
255,593,164
256,282,198
257,205,224
258,285,228
259,480,217
260,463,270
261,568,287
262,308,290
263,191,331
264,256,343
265,201,337
266,184,332
267,177,336
268,320,371
269,299,376
270,517,375
271,550,371
272,510,226
273,324,211
274,386,207
275,254,70
276,411,81
277,143,
278,469,
279,514,
280,464,
281,273,
282,486,
283,297,
284,346,
285,333,
286,176,
287,654,
288,575,
289,395,
290,223,
291,287,
292,203,
293,452,
294,625,
295,319,
296,214,
297,218,
298,486,
299,571,
300,399,
301,513,
302,648,
303,471,
304,426,
305,220,
306,260,
307,393,
308,465,
309,575,
310,362,
311,223,
312,319,
313,270,
314,93,
315,377,
316,190,
317,566,
318,237,
319,333,
320,467,
321,537,
322,510,
323,344,
324,709,
325,453,
326,349,
327,432,
328,262,
329,406,
330,265,
331,568,
332,562,
333,567,
334,212,
335,577,
336,174,
337,310,
338,382,
339,123,
340,433,
341,599,
342,166,
343,401,
344,477,
345,367,
346,305,
347,417,
348,486,
349,381,
350,365,
351,218,
352,663,
353,462,
354,220,
355,440,
356,667,
357,445,
358,302,
359,168,
360,128,
361,628,
362,336,
363,265,
364,210,
365,216,
366,511,
367,442,
368,206,
369,137,
370,255,
371,467,
372,427,
373,264,
374,213,
375,430,
376,556,
377,488,
378,362,
379,153,
380,591,
381,474,
382,164,
383,659,
384,163,
385,144,
386,201,
387,522,
388,491,
389,520,
390,163,
391,486,
392,292,
393,240,
394,516,
395,576,
396,584,
397,278,
398,294,
399,196,
400,202,
401,443,
402,430,
403,515,
404,393,
405,352,
406,404,
407,410,
408,253,
409,222,
410,329,
411,379,
412,419,
413,265,
414,224,
415,612,
416,441,
417,263,
418,461,
419,241,
420,181,
421,167,
422,99,
423,380,
424,400,
425,623,
426,255,
427,601,
428,332,
429,450,
430,208,
431,604,
432,210,
433,255,
434,496,
435,587,
436,163,
437,509,
438,199,
439,253,
440,602,
441,432,
442,554,
443,431,
444,448,
445,512,
446,567,
447,303,
448,162,
449,637,
450,355,
451,588,
452,416,
453,290,
454,266,
455,515,
456,159,
457,318,
458,334,
459,390,
460,166,
461,274,
462,176,
463,368,
464,680,
465,91,
466,148,
467,575,
468,410,
469,251,
470,663,
471,285,
472,389,
473,332,
474,373,
475,367,
476,531,
477,296,
478,420,
479,497,
480,666,
481,373,
482,383,
483,108,
484,316,
485,559,
486,301,
487,344,
488,288,
489,237,
490,451,
491,345,
492,627,
493,435,
494,153,
495,254,
496,388,
497,264,
498,486,
499,333,
500,649,
501,221,
502,419,
503,375,
504,184,
505,192,
506,531,
507,142,
508,270,
509,431,
510,719,
511,492,
512,239,
513,316,
514,274,
515,480,
516,379,
517,444,
518,419,
519,527,
520,325,
521,353,
522,468,
523,378,
524,379,
525,319,
526,270,
527,274,
528,310,
529,553,
530,400,
531,612,
532,401,
533,393,
534,414,
535,354,
536,300,
537,407,
538,372,
539,278,
540,560,
541,509,
542,486,
543,531,
544,544,
545,442,
546,285,
547,289,
548,676,
549,555,
550,281,
551,365,
552,202,
553,318,
554,131,
555,225,
556,536,
557,184,
558,537,
559,176,
560,452,
561,465,
562,360,
563,336,
564,113,
565,276,
566,405,
567,238,
568,478,
569,303,
570,350,
571,338,
572,251,
573,320,
574,278,
575,714,
576,127,
577,548,
578,336,
579,266,
580,274,
581,608,
582,502,
583,492,
584,153,
585,489,
586,401,
587,510,
588,570,
589,158,
590,160,
591,130,
592,471,
593,136,
594,367,
595,134,
596,194,
597,515,
598,369,
599,388,
600,150,
601,528,
602,563,
603,362,
604,359,
605,643,
606,489,
607,602,
608,481,
609,605,
610,564,
611,252,
612,81,
613,133,
614,339,
615,438,
616,151,
617,538,
618,521,
619,177,
620,432,
621,278,
622,261,
623,207,
624,444,
625,170,
626,493,
627,215,
628,225,
629,144,
630,441,
631,512,
632,552,
633,335,
634,816,
635,212,
636,554,
637,695,
638,149,
639,382,
640,466,
