,tandem,fcfs
1,48.02777778,477
2,48.08196721,348
3,91.75806452,384
4,54.75384615,219
5,46.64912281,465
6,46.52307692,597
7,95.69642857,344
8,48.58730159,171
9,49.19607843,129
10,45.2037037,131
11,45.1372549,413
12,88.46551724,459
13,45.75409836,219
14,63.05714286,427
15,92.53164557,439
16,48.61111111,156
17,43.53703704,143
18,87.20987654,569
19,42.69565217,161
20,45.93478261,207
21,52.58461538,224
22,47.59322034,271
23,48.80882353,224
24,99.44444444,250
25,49.53731343,399
26,90.49230769,238
27,49.125,239
28,55.16438356,188
29,50.43421053,416
30,148.2352941,339
31,93.0483871,185
32,52.20967742,303
33,43.82692308,229
34,55.25352113,384
35,88.86206897,182
36,96.74576271,439
37,90.24590164,304
38,86.77272727,210
39,44.96551724,206
40,47.03333333,123
41,92.28787879,285
42,50.15873016,209
43,60.14285714,177
44,92.25423729,232
45,88.85454545,80
46,48.38,310
47,49.38571429,346
48,89.83333333,119
49,45.92063492,332
50,46.36363636,376
51,49.34782609,172
52,47.94736842,432
53,44.45833333,406
54,83.64864865,277
55,89.09230769,478
56,45.74545455,83
57,94.63636364,360
58,86.72307692,319
59,91.71428571,366
60,46.05172414,148
61,54.08571429,568
62,47.3877551,294
63,95.625,493
64,94.89655172,310
65,89.44,172
66,50.43055556,495
67,48.46052632,340
68,47.05454545,668
69,50.52112676,448
70,49.57575758,287
71,132.6833333,354
72,48.71929825,288
73,50.07017544,329
74,101.2244898,226
75,48.44897959,417
76,88.32786885,520
77,132.5483871,209
78,90.71875,194
79,92.765625,125
80,96.53846154,538
81,44.69354839,362
82,57.3880597,167
83,45.55737705,236
84,50.34848485,355
85,97.60606061,228
86,45.80701754,282
87,93.44827586,436
88,49.61818182,282
89,91.82692308,568
90,51.76056338,274
91,92.19298246,600
92,45.56896552,477
93,47.27777778,252
94,92.48214286,174
95,48.328125,362
96,91,275
97,50.15873016,563
98,51.66666667,281
99,83.52564103,550
100,88.53030303,230
101,87.03076923,142
102,50.7972973,333
103,94.7037037,226
104,96.21568627,420
105,89.58333333,509
106,90.58571429,213
107,53.92857143,274
108,95.96428571,360
109,102.8666667,518
110,52.29230769,249
111,52.21538462,423
112,95.63333333,343
113,90.31343284,230
114,46.4375,276
115,93.37096774,361
116,91.50746269,138
117,48.28333333,624
118,48.32142857,485
119,89.56896552,182
120,47.87272727,410
121,46.23636364,352
122,42.62,315
123,89.8,295
124,48.21212121,579
125,47.35087719,278
126,54.83561644,181
127,85.32894737,342
128,48.37037037,348
129,45.57692308,300
130,50.38461538,288
131,45.18644068,469
132,93.95,153
133,49.41666667,495
134,47.38461538,200
135,49.09677419,335
136,54.04285714,635
137,49.01515152,473
138,55.16176471,415
139,51.18181818,398
140,55.875,378
141,53.62711864,160
142,99.35294118,297
143,55.6,506
144,95.11666667,351
145,45.75925926,683
146,49.13114754,123
147,91.37096774,346
148,48.26666667,234
149,92.6031746,636
150,56.43589744,240
151,45.53703704,117
152,93.16363636,205
153,46.33333333,126
154,92.77192982,403
155,88.28767123,380
156,54.07142857,168
157,43.36956522,158
158,86.17808219,119
159,92.1754386,572
160,101.3768116,311
161,46.35483871,245
162,95.55932203,503
163,50.38888889,330
164,47.85106383,303
165,46.32758621,214
166,100.3148148,157
167,94.08,358
168,49.91176471,462
169,45.32758621,549
170,50.24193548,276
171,59.45,251
172,92.16393443,518
173,100.6818182,503
174,95.83333333,824
175,51.54666667,229
176,50.14285714,479
177,56.24050633,197
178,44.26415094,463
179,88.98360656,190
180,85.265625,313
181,93.15254237,303
182,43.77358491,376
183,95.0754717,93
184,45.51724138,287
185,90.86666667,109
186,50.14285714,664
187,143.5740741,462
188,45.18965517,436
189,93.25,772
190,45.66666667,258
191,107.9534884,377
192,45.06666667,357
193,50.51470588,165
194,88.75409836,420
195,91.28070175,189
196,44.88333333,138
197,50.1875,687
198,44.18644068,361
